"K","eta","model","N_zero","divergences","min_ess","ess_per_1k_grad","seconds","failed"
9,3,"qr2",13,0,3907.44769594026,69.7808360586517,0.71417498588562,FALSE
9,3,"tri",13,0,7369.33856046025,131.651753616912,0.59182620048523,FALSE
9,4,"carpenter",13,281,6809.78319690686,119.206371825559,1.78268885612488,FALSE
9,4,"pinkney",13,199,6651.32344103924,96.5569200992849,1.48718214035034,FALSE
9,4,"ldl2",13,186,7200.507688492,89.3374320834254,1.56889200210571,FALSE
9,4,"ldl3",13,216,7630.54839823808,94.5931843038427,1.56957077980042,FALSE
9,4,"cvine",13,193,6693.53875091116,102.386826017761,1.57268905639648,FALSE
9,4,"schur",13,NA,NA,NA,NA,TRUE
9,4,"qr2",13,0,3332.51073499336,59.5601718436045,0.699059963226318,FALSE
9,4,"tri",13,0,8069.59252384721,144.161650061584,0.587051153182983,FALSE
15,1,"carpenter",64,762,685.952154986472,10.561234102948,11.4623229503632,FALSE
15,1,"pinkney",64,1085,615.48589446767,15.1206459763584,14.1732740402222,FALSE
15,1,"ldl2",64,742,896.216594319057,9.46884377351115,11.1789531707764,FALSE
15,1,"ldl3",64,638,915.981250108624,8.89837815100958,10.2364637851715,FALSE
15,1,"cvine",64,NA,NA,NA,NA,TRUE
15,1,"schur",64,NA,NA,NA,NA,TRUE
15,1,"qr2",64,0,3977.71097143317,47.6212883276646,4.14773511886597,FALSE
15,1,"tri",64,0,7400.25824474453,132.090858288314,1.4375331401825,FALSE
15,2,"carpenter",64,246,1362.74968890067,48.1554008587113,4.34948301315308,FALSE
15,2,"pinkney",64,163,1236.04292570576,34.0958547309322,3.5952479839325,FALSE
15,2,"ldl2",64,199,1203.61240041406,38.2560676503103,3.79585289955139,FALSE
15,2,"ldl3",64,412,1521.65390794038,56.708303504654,5.82424306869507,FALSE
15,2,"cvine",64,NA,NA,NA,NA,TRUE
15,2,"schur",64,NA,NA,NA,NA,TRUE
15,2,"qr2",64,2000,7.14450502744957,0.162345596878967,22.921128988266,FALSE
15,2,"tri",64,0,7537.07758244357,134.513806083016,1.34187197685242,FALSE
15,3,"carpenter",64,165,1373.1982084289,48.4082986720097,2.57469487190247,FALSE
15,3,"pinkney",64,112,1802.70379283383,62.1557698456654,2.25652599334717,FALSE
